X: (19580, 20, 84)
Y: (19580, 77)
Device: cpu
Epoch 190 | Train 0.025851 | Val 0.030229 | Pred 0.016152 | Latent 0.002106 | Recon 0.011970
Epoch 191 | Train 0.024632 | Val 0.032204 | Pred 0.017287 | Latent 0.002103 | Recon 0.012814
Epoch 192 | Train 0.025328 | Val 0.031986 | Pred 0.017327 | Latent 0.002228 | Recon 0.012431
Epoch 193 | Train 0.025070 | Val 0.031253 | Pred 0.016983 | Latent 0.002221 | Recon 0.012049
Epoch 194 | Train 0.024521 | Val 0.031766 | Pred 0.017438 | Latent 0.002224 | Recon 0.012104
Epoch 195 | Train 0.024735 | Val 0.029317 | Pred 0.015746 | Latent 0.002039 | Recon 0.011531
Epoch 196 | Train 0.023832 | Val 0.030483 | Pred 0.016658 | Latent 0.002079 | Recon 0.011746
Epoch 197 | Train 0.025745 | Val 0.030320 | Pred 0.016518 | Latent 0.002168 | Recon 0.011634
Epoch 198 | Train 0.024166 | Val 0.030904 | Pred 0.016585 | Latent 0.002055 | Recon 0.012264
Epoch 199 | Train 0.024365 | Val 0.030200 | Pred 0.016281 | Latent 0.002102 | Recon 0.011818
Epoch 200 | Train 0.023683 | Val 0.032106 | Pred 0.017405 | Latent 0.002188 | Recon 0.012513

Best validation loss: 0.032106394353120224
Saved model: models/latent_gru_world_model.pt
