Starting Latent GRU experiment
Training...
wandb: Currently logged in as: 92danyalsultan (IML-Research) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run ywjya7u4
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /mnt/parscratch/users/aca22mds/projects/latent-gru-world-model/Latent-GRU-World-Model/wandb/run-20260714_024246-ywjya7u4
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run latent-gru-train-hpc-a100-10825452
wandb: ⭐️ View project at https://wandb.ai/IML-Research/latent-gru-world-model
wandb: 🚀 View run at https://wandb.ai/IML-Research/latent-gru-world-model/runs/ywjya7u4
Using device: cuda
X: (19580, 20, 84)
Y: (19580, 77)
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Epoch 195 | Train 0.023969 | Val 0.033685 | Pred 0.018943 | Latent 0.002188 | Recon 0.012553
Epoch 196 | Train 0.024456 | Val 0.028314 | Pred 0.015282 | Latent 0.001959 | Recon 0.011073
Epoch 197 | Train 0.022679 | Val 0.027789 | Pred 0.014972 | Latent 0.001954 | Recon 0.010863
Epoch 198 | Train 0.022510 | Val 0.029797 | Pred 0.016419 | Latent 0.002041 | Recon 0.011337
Epoch 199 | Train 0.022834 | Val 0.030250 | Pred 0.016482 | Latent 0.002100 | Recon 0.011668
Epoch 200 | Train 0.022849 | Val 0.030470 | Pred 0.016598 | Latent 0.002039 | Recon 0.011833
Epoch 201 | Train 0.022861 | Val 0.028676 | Pred 0.015538 | Latent 0.002052 | Recon 0.011086
Epoch 202 | Train 0.023008 | Val 0.027487 | Pred 0.015098 | Latent 0.002031 | Recon 0.010358
Epoch 203 | Train 0.022549 | Val 0.033962 | Pred 0.019448 | Latent 0.002509 | Recon 0.012004
Epoch 204 | Train 0.024213 | Val 0.030736 | Pred 0.016969 | Latent 0.002041 | Recon 0.011727
Epoch 205 | Train 0.022829 | Val 0.027442 | Pred 0.014883 | Latent 0.002013 | Recon 0.010546
Epoch 206 | Train 0.022095 | Val 0.028057 | Pred 0.015198 | Latent 0.001928 | Recon 0.010931
Epoch 207 | Train 0.022183 | Val 0.028448 | Pred 0.015373 | Latent 0.002012 | Recon 0.011063
Epoch 208 | Train 0.022325 | Val 0.027867 | Pred 0.015053 | Latent 0.001898 | Recon 0.010916
Epoch 209 | Train 0.022313 | Val 0.031467 | Pred 0.017543 | Latent 0.002031 | Recon 0.011893
Epoch 210 | Train 0.022081 | Val 0.029011 | Pred 0.015638 | Latent 0.001929 | Recon 0.011444
Epoch 211 | Train 0.022182 | Val 0.031579 | Pred 0.017403 | Latent 0.002120 | Recon 0.012055
Epoch 212 | Train 0.023035 | Val 0.028266 | Pred 0.015781 | Latent 0.002042 | Recon 0.010443
Epoch 213 | Train 0.022723 | Val 0.031011 | Pred 0.017071 | Latent 0.001985 | Recon 0.011955
Epoch 214 | Train 0.022121 | Val 0.030882 | Pred 0.017178 | Latent 0.002118 | Recon 0.011586
Epoch 215 | Train 0.022217 | Val 0.029111 | Pred 0.016183 | Latent 0.002028 | Recon 0.010900
Epoch 216 | Train 0.022069 | Val 0.028076 | Pred 0.015541 | Latent 0.001952 | Recon 0.010582
Epoch 217 | Train 0.021411 | Val 0.029632 | Pred 0.016449 | Latent 0.002032 | Recon 0.011151
Epoch 218 | Train 0.021787 | Val 0.027340 | Pred 0.014971 | Latent 0.001925 | Recon 0.010444
Epoch 219 | Train 0.020989 | Val 0.027565 | Pred 0.014991 | Latent 0.001934 | Recon 0.010639
